pl_orbper,pl_discmethod,st_dist,pl_rade,pl_bmasse,pl_orbsmax,st_teff,pl_pnum,st_rad,st_mass,pl_publ_date
7.01060600,Transit,303.83,1.410,,0.067000,4910.00,2,0.79,,2014-03
2.02415200,Transit,557.51,1.990,,0.032000,5790.00,3,1.27,,2014-03
4.76170200,Transit,557.51,2.860,,0.057000,5790.00,3,1.27,,2014-03
597.06430000,Radial Velocity,36.02,,472.83000,1.364900,5790.00,1,1.11,1.07,2006-06
380.85001000,Radial Velocity,47.79,,397.28750,0.950000,4802.00,1,0.76,0.39,2009-03
1211.17000000,Radial Velocity,94.11,,485.32641,2.370000,5843.00,1,1.49,1.21,2007-05
730.59998000,Radial Velocity,33.49,,829.53630,1.600000,5974.00,1,1.07,1.12,2002-05
528.07000000,Radial Velocity,32.63,,4338.20000,1.167000,5027.00,1,,0.75,2012-02
1561.00000000,Radial Velocity,52.08,,2870.00490,2.770000,6040.00,1,1.53,1.47,2003-11
3668.00000000,Radial Velocity,46.68,,1226.82380,4.920000,5802.00,1,1.30,1.11,2007-03
1802.29000000,Radial Velocity,55.70,,290.81445,2.971000,6125.00,1,1.23,1.08,2011-03
428.10000000,Radial Velocity,18.28,,495.80000,1.271000,4846.00,1,,1.23,2001-07
2198.14000000,Radial Velocity,50.36,,474.83802,3.242000,5737.00,1,0.92,0.94,2013-03
18.02000000,Radial Velocity,43.88,,211.35695,0.125000,,3,,0.80,2005-08
1116.00000000,Radial Velocity,54.70,,368.67000,2.150000,5664.00,1,1.48,1.06,2010-11
379.00000000,Radial Velocity,39.43,,1875.19700,1.020000,5662.00,1,1.03,1.02,2001-12
380.20000000,Radial Velocity,190.92,,490.09386,1.180000,4972.00,1,6.48,1.53,2011-12
2527.83000000,Radial Velocity,55.68,,2740.33026,3.704000,5607.00,2,1.02,1.05,2003-04
1157.00000000,Radial Velocity,26.18,,387.75260,2.340000,5882.00,1,1.61,1.12,2009-10
1684.00000000,Radial Velocity,57.10,,149.37000,2.690000,5400.00,1,0.91,0.92,2015-04
26.69040000,Radial Velocity,93.75,,222.48100,0.191000,5894.00,1,1.93,1.31,2006-08
141.63000000,Radial Velocity,109.22,,359.14790,0.567000,6101.00,1,1.53,1.21,2007-11
192.00000000,Radial Velocity,868.63,,2089.64400,0.747000,4791.00,1,10.90,1.50,2013-06
501.75000000,Radial Velocity,142.86,,1655.82000,1.160000,4297.00,1,,0.82,2009-12
745.70001000,Radial Velocity,958.16,,5050.31870,1.920000,3926.00,1,71.23,8.76,2012-01
2443.00000000,Radial Velocity,56.52,,772.32690,3.430000,5505.00,1,0.95,0.84,2010-11
8.78360000,Radial Velocity,9.47,,8.40000,0.066000,3679.00,1,0.45,0.45,2009-01
6.08810000,Radial Velocity,45.09,,311.47340,0.060000,4503.00,1,0.69,0.82,2014-05
3.38773000,Radial Velocity,45.36,,152.55840,0.040000,5000.00,1,0.84,0.47,2004-08
345.72000000,Radial Velocity,51.68,,451.00000,0.890000,4962.00,2,,0.78,2010-03
9017.76000000,Radial Velocity,51.68,,4780.16320,7.700000,4962.00,2,,0.78,2011-09
57.43500000,Radial Velocity,23.39,,114.41880,0.250000,3901.00,1,0.65,0.69,2011-02
6.67389200,Radial Velocity,50.55,,1239.53700,0.069600,5544.00,3,1.07,1.01,2006-07
147.74700000,Radial Velocity,50.55,,416.35730,0.549000,5544.00,3,1.07,1.01,2007-03
981.80000000,Radial Velocity,50.55,,187.51970,1.940000,5544.00,3,1.07,1.01,2009-07
41.38000000,Radial Velocity,11.02,,96.70000,0.166000,3264.00,2,0.40,0.35,2010-05
8.13520000,Radial Velocity,25.88,,6.35660,0.070000,4510.00,3,0.78,0.29,2012-01
4.72674000,Transit,96.18,1.569,3.17830,,5669.00,2,0.98,1.09,2014-02
1460.00000000,Radial Velocity,96.18,,954.00000,,5669.00,2,0.98,1.09,2014-02
2.50806000,Transit,192.97,3.510,10.84000,,4781.00,2,0.76,0.81,2014-02
820.30000000,Radial Velocity,192.97,,3126.00000,,4781.00,2,0.76,0.81,2014-02
11.52310000,Transit,451.38,3.420,13.00000,,5699.00,1,1.41,1.08,2014-02
16.23850000,Transit,123.32,2.670,8.46000,,5690.00,1,1.02,1.00,2014-02
2.58664000,Transit,405.58,1.480,3.51000,,5779.00,2,0.98,0.94,2014-02
789.00000000,Radial Velocity,405.58,,344.00000,,5779.00,2,0.98,0.94,2014-02
1.54168000,Transit,353.87,1.990,3.55000,,5539.00,1,1.11,0.99,2014-02
4.60358000,Transit,209.63,1.480,6.15000,,4782.00,1,0.73,0.79,2014-02
6.88705000,Transit,307.34,1.320,7.34000,,5825.00,3,1.49,1.08,2014-02
12.81590000,Transit,307.34,2.200,7.05000,,5825.00,3,1.49,1.08,2014-02
35.33310000,Transit,307.34,1.610,3.00000,,5825.00,3,1.49,1.08,2014-02
3.48768120,Transit,953.44,5.770,51.10000,0.047400,5667.00,2,1.56,1.17,2014-03
6.02976000,Transit,953.44,1.250,3.78000,0.068400,5667.00,2,1.56,1.17,2014-03
5.28696000,Transit,108.13,0.470,4.30000,,4909.00,5,0.76,0.81,2014-02
7.07142000,Transit,108.13,0.580,3.00000,,4909.00,5,0.76,0.81,2014-02
10.31170000,Transit,108.13,1.180,3.80000,,4909.00,5,0.76,0.81,2014-02
41.80911800,Transit,557.51,2.160,,0.242000,5790.00,3,1.27,,2014-03
16.00758300,Transit,828.71,2.410,,0.127000,5848.00,2,1.36,,2014-03
27.08251100,Transit,828.71,3.370,,0.181000,5848.00,2,1.36,,2014-03
5.88527300,Transit,389.22,1.330,,0.066000,6075.00,2,1.24,,2014-03
10.10466500,Transit,389.22,1.350,,0.094000,6075.00,2,1.24,,2014-03
22.95100000,Transit,576.15,2.650,37.10000,,6022.00,2,1.98,1.28,2014-02
42.88200000,Transit,576.15,4.320,79.40000,,6022.00,2,1.98,1.28,2014-02
31.15879900,Transit,731.81,3.710,,0.200000,5948.00,2,1.21,,2014-03
76.73217100,Transit,731.81,3.130,,0.364000,5948.00,2,1.21,,2014-03
12.61058400,Transit,1073.89,1.530,,0.113000,6012.00,2,1.47,,2014-03
33.41642300,Transit,1073.89,2.430,,0.216000,6012.00,2,1.47,,2014-03
1.72936600,Transit,809.42,1.800,,0.028000,5272.00,3,0.85,,2014-03
4.18004300,Transit,809.42,3.600,,0.050000,5272.00,3,0.85,,2014-03
29.19894300,Transit,580.57,4.210,,0.184000,5381.00,3,0.95,,2014-03
55.32832800,Transit,580.57,1.610,,0.281000,5381.00,3,0.95,,2014-03
160.01803200,Transit,580.57,3.960,,0.571000,5381.00,3,0.95,,2014-03
3.42805400,Transit,914.40,1.250,,0.044000,5560.00,5,0.94,,2014-03
847.00000000,Radial Velocity,131.70,,491.68301,1.850000,4895.00,1,4.40,1.17,2011-12
466.00000000,Radial Velocity,58.24,,197.05460,1.260000,6130.00,1,1.75,1.70,2011-02
157.54000000,Radial Velocity,122.55,,966.16000,0.590000,4580.00,1,10.22,1.13,2009-10
326.00000000,Radial Velocity,121.80,,440.19455,1.070000,4978.00,2,4.45,1.41,2011-12
18.19910000,Radial Velocity,90.10,,104.56607,0.150800,5935.00,1,1.97,1.38,2006-08
388.00000000,Radial Velocity,20.97,,2892.10000,1.100000,6250.00,1,,1.25,2005-12
1049.00000000,Radial Velocity,46.15,,260.62060,2.070000,5879.00,6,1.38,1.14,2010-10
154.37800000,Radial Velocity,31.69,,214.53525,0.533640,,3,,0.85,2003-01
885.50000000,Radial Velocity,31.69,,207.22516,1.710000,,3,,0.85,2003-01
1862.00000000,Radial Velocity,31.69,,221.20968,2.807000,,3,,0.85,2005-10
55.01292000,Radial Velocity,46.85,,854.96270,0.277000,5329.00,2,0.91,0.94,2004-08
2720.00000000,Radial Velocity,46.85,,1013.87770,3.740000,5329.00,2,0.91,0.94,2012-12
363.20001000,Radial Velocity,38.10,,127.13200,1.020000,5981.00,1,1.49,1.37,2011-05
14.30944000,Radial Velocity,42.41,,253.31051,0.129400,5541.00,2,2.56,1.41,2001-04
2136.10000000,Radial Velocity,42.41,,4128.61170,3.640000,5541.00,2,2.56,1.41,2001-04
685.25000000,Radial Velocity,91.68,,3082.31534,1.623000,5338.00,1,2.03,1.21,2010-05
2093.07000000,Radial Velocity,18.28,,3184.65660,3.100000,6037.00,2,1.10,1.09,2002-07
32.03000000,Radial Velocity,25.88,,130.00000,0.178000,4510.00,3,0.78,0.29,2012-01
431.70000000,Radial Velocity,25.88,,167.40000,1.010000,4510.00,3,0.78,0.29,2012-01
,Imaging,11.51,13.675,1997.59000,1168.000000,3621.00,1,0.63,0.49,2010-12
124.60000000,Radial Velocity,157.16,,2917.56000,0.565000,4830.00,1,,1.54,2013-08
88.90000000,Radial Velocity,65.96,,438.60540,0.460000,4890.00,2,5.92,1.63,2015-01
2131.80000000,Radial Velocity,65.96,,1900.62340,3.820000,4890.00,2,5.92,1.63,2015-01
17337.50000000,Radial Velocity,24.07,,2860.00000,20.250000,4105.00,1,,0.63,2011-11
3070.00000000,Radial Velocity,54.28,,1134.61000,4.350000,5948.00,2,1.23,1.31,2009-03
6.83776000,Radial Velocity,52.07,,321.00830,0.077000,5923.00,1,2.00,1.30,2006-12
1019.74000000,Radial Velocity,45.96,,265.70588,2.100000,6117.00,1,1.27,1.19,2006-06
3.09658280,Radial Velocity,46.02,,166.21800,0.042600,5830.00,2,,1.00,1998-12
3810.00000000,Radial Velocity,46.02,,632.46000,4.890000,5830.00,2,,1.00,2009-03
461.20000000,Radial Velocity,50.74,,476.72000,1.203000,5746.00,1,,1.09,2005-01
2.21857567,Radial Velocity,19.78,12.666,359.14790,,5052.00,1,0.75,0.79,2005-12
2915.03687000,Radial Velocity,16.01,,489.45820,3.970000,5552.00,2,1.14,0.99,2003-11
17.11100000,Radial Velocity,16.01,,19.06900,0.130400,5552.00,2,1.14,0.99,2005-10
1176.45000000,Radial Velocity,54.56,,630.89255,2.231000,5656.00,1,1.38,1.07,2007-08
16.14570000,Transit,108.13,2.220,8.93000,,4909.00,5,0.76,0.81,2014-03
27.45360000,Transit,108.13,0.880,5.20000,,4909.00,5,0.76,0.81,2014-02
15.96540000,Transit,501.93,3.370,9.70000,,5845.00,2,1.44,1.09,2014-02
179.61200000,Transit,501.93,5.140,36.10000,,5845.00,2,1.44,1.09,2014-02
11.42754800,Transit,405.42,3.100,,0.094000,5711.00,3,1.35,,2014-03
23.66820500,Transit,405.42,3.130,,0.153000,5711.00,3,1.35,,2014-03
51.75539400,Transit,405.42,3.580,,0.257000,5711.00,3,1.35,,2014-03
5.41220000,Transit,465.33,4.810,,0.066000,5827.00,2,0.89,0.96,2014-03
7.12620000,Transit,465.33,1.310,4.60000,,5827.00,2,0.89,0.96,2014-03
6.16486000,Transit,449.98,0.820,5.30000,,5858.00,4,1.04,1.00,2014-02
13.57080000,Transit,449.98,2.500,10.44000,,5858.00,4,1.04,1.00,2014-02
23.98020000,Transit,449.98,0.950,8.10000,,5858.00,4,1.04,1.00,2014-02
43.84450000,Transit,449.98,2.560,11.17000,,5858.00,4,1.04,1.00,2014-02
3.18002180,Transit,525.50,1.536,3.51000,0.045440,5854.00,4,1.45,1.24,2014-03
4.90145200,Transit,525.50,1.597,9.39000,0.060640,5854.00,4,1.45,1.24,2014-03
7.95839000,Transit,525.50,0.860,3.80000,0.083770,5854.00,4,1.45,1.24,2014-03
14.74914300,Transit,525.50,2.903,8.60000,0.126390,5854.00,4,1.45,1.24,2014-03
49.18392100,Transit,729.00,8.650,,0.292000,5854.00,2,2.19,,2014-03
7.38199800,Transit,914.40,3.690,,0.073000,5560.00,5,0.94,,2014-03
12.56093000,Transit,914.40,2.790,,0.104000,5560.00,5,0.94,,2014-03
30.82655700,Transit,914.40,3.120,,0.189000,5560.00,5,0.94,,2014-03
15.22895800,Transit,662.19,3.060,,0.116000,5460.00,2,0.83,,2014-03
24.67461200,Transit,662.19,2.090,,0.160000,5460.00,2,0.83,,2014-03
18.20797300,Transit,446.77,2.790,,0.124000,5088.00,2,0.72,,2014-03
88.25505500,Transit,446.77,2.390,,0.356000,5088.00,2,0.72,,2014-03
18.87022700,Transit,465.53,2.920,,0.129000,5404.00,2,0.89,,2014-03
46.90232000,Transit,465.53,2.530,,0.237000,5404.00,2,0.89,,2014-03
33.04053200,Transit,939.89,2.260,,0.198000,5690.00,5,1.00,,2014-03
62.30327600,Transit,939.89,2.950,,0.303000,5690.00,5,1.00,,2014-03
5.93119400,Transit,295.99,2.090,,0.056000,4508.00,2,0.62,,2014-03
52.66179300,Transit,295.99,2.240,,0.242000,4508.00,2,0.62,,2014-03
4.97345600,Transit,449.22,2.300,,0.054000,5094.00,2,0.81,,2014-03
15.90680100,Transit,449.22,2.550,,0.117000,5094.00,2,0.81,,2014-03
1.73234200,Transit,791.27,1.320,,0.028000,5774.00,3,1.04,,2014-03
13.54050000,Transit,791.27,2.240,,0.110000,5774.00,3,1.04,,2014-03
4.31230000,Radial Velocity,12.94,,4.00000,0.046800,4956.00,5,,0.77,2009-01
